V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
1519 3597 1849 4133 1223 2408 1016 2392 5273 4622 1705 3657 2124 2483 2932 3140 4403 2238 2436 5235 3485 1375 4510
1783 4766 5990 3012 1432 5141 5067 3235 3733 4076 3813 1569 1624 2987 3864 1407 5836 3899 2555 3388 2417 4572 1755
4423 3704 2718 5998 1467 4792 2119 1153 5909 5190 4412 5086 1753 3892 2399 4882 1460 2598 3939 2613 5744 5438 4861
5919 4082 3345 2852 3786 2381 3400 2227 1636 2041 4878 2202 1121 4246 2463 3224 3377 4751 4912 2267 5553 4741 3955
1008 3436 3164 4874 3217 5367 1752 3708 3274 3150 3608 2682 1647 4902 4447 5082 2995 5261 2163 2078 1989 1703 3450
5800 2160 5700 4196 2431 3605 5199 5629 3581 4518 4890 4442 2475 1517 3849 5985 2877 4955 4158 2617 4693 1757 3873
1612 4213 3798 4042 1962 2173 5000 5733 5715 3854 5361 1536 3479 4309 2588 4622 2546 2440 2135 4873 4343 4650 2160
5993 4503 2986 5436 2304 5105 5711 5444 4279 2185 4828 2038 1648 5056 3079 1800 1340 4142 3667 1136 1936 4269 5893
2510 4538 5860 1997 5153 2162 4407 3454 3589 3231 4920 3996 3210 2677 4488 1104 1097 4756 5828 3338 4112 2395 3036
5630 3050 5491 4574 4043 4121 1640 5728 4649 1013 3092 1817 2975 3877 2027 5967 2261 3115 2122 1746 5422 4236 1032
4492 2266 1730 1890 4088 2487 3460 4243 3031 1399 4162 1245 1264 2297 2162 4248 1842 3455 4715 3100 2938 1502 4756
5458 4435 5161 5889 2923 3501 5956 3529 2199 3227 2107 4611 5680 3839 5963 5892 3578 3453 4924 3655 1180 1217 1743
4245 3292 1781 1482 3287 4266 4395 3714 5016 2570 3550 5398 4145 5126 4563 5445 2717 3745 2814 1235 3665 3494 5865
1221 5251 4945 4258 4901 3882 4298 3301 4353 1686 1800 5865 3548 2401 1124 3425 1042 5735 1121 1588 2615 3398 3130
3463 4397 4013 2829 5497 4269 3528 1608 2246 3692 5230 5280 1395 3725 1458 5805 1567 1410 3212 3425 2518 3813 5226
4205 1274 3856 5310 4426 1725 5834 5596 4011 5274 1417 3639 1877 2644 5313 4464 4296 5944 2757 1760 1100 1070 4685
4014 3296 3629 5634 1010 4035 2015 4360 4989 2966 3838 3965 1198 2402 2488 1040 1972 2568 4996 4962 4564 3676 3866
1140 1060 1931 3384 5449 1334 4544 4202 5460 4830 1465 1943 1558 1158 4197 2267 4714 2801 5726 3174 4759 1880 5279
5268 4900 1501 5206 5482 2255 5824 4612 5751 5353 4045 4210 3202 4882 5925 2456 1714 2476 5564 5852 2562 2404 5248
1776 4583 5155 1884 1736 1349 5836 1630 1706 1564 5273 5086 1339 2652 2534 3118 4733 5888 1948 1108 1122 5999 2419
