V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
5502 4810 5673 5205 1595 4851 4874 3780 5696 1099 4980 4985 4459 3863 3758 2568 4495 5351 3899 2174 4751 3759 3754
2233 5296 3155 5973 1951 4751 5782 5948 5201 4732 3772 3946 1978 1959 2103 3069 1814 4329 2392 4725 3687 3473 1766
3417 2616 1200 3984 3599 2348 3164 4094 3520 1934 1090 5798 3707 2154 5536 1978 2832 3664 4390 4216 4586 5251 4471
3232 4909 1414 4844 4083 4754 5045 4289 5326 1669 3979 2655 4620 1176 1110 5413 4033 5371 1672 1341 5876 5033 2593
3866 2118 3154 3327 4554 5959 4857 4552 3497 2723 1996 4270 5141 5070 1885 5654 5044 1358 1377 2613 3613 3273 5086
5880 3154 4961 1271 5115 3350 5717 4352 1868 5133 1598 5580 4629 4520 4963 2339 2069 3175 2087 2744 5126 2558 2470
3495 3867 2651 1304 3232 4217 5656 1557 1282 2112 2173 3463 1345 4573 5543 4290 4815 5414 4991 2044 4401 5490 1537
4143 1319 4479 1665 4783 4745 5753 4621 4735 5918 2710 2170 5826 4252 5882 3645 3245 5019 2402 1225 5035 2606 4323
3973 3366 4817 4557 4397 3409 2694 2489 5658 2624 5711 5819 2589 1897 1243 3700 1001 3053 5738 1788 2052 1130 3440
3989 5827 4118 5011 3516 1114 3774 1924 4434 5950 1031 4118 4546 3919 1784 2687 3191 5343 1465 2271 3854 3754 4908
5085 4207 4928 2082 5327 1000 5401 2754 2056 4244 3469 3139 3805 3626 5107 2527 2306 5894 4244 2025 4238 4143 2020
1489 2218 2163 4956 5948 1118 4172 2503 5291 3839 5297 1956 1813 2361 2302 2303 4572 1027 4688 5354 5306 4128 1676
1627 5880 3195 2822 5950 3374 3735 2219 3527 4976 2572 4545 1619 1486 1892 5251 5135 5291 5285 3425 3450 2302 5454
2950 1917 3588 5216 5614 5250 1718 1066 5985 3025 4601 1405 4463 3952 1105 5684 2518 5234 5007 1116 2229 5700 4484
2910 5847 5729 2725 2275 5735 5732 2519 4618 3210 2693 3281 3739 2154 3107 4232 3945 4753 2239 4205 4095 5264 3411
3715 5297 1392 4511 2521 2302 3589 3506 2074 4708 1160 4299 5480 1059 3083 5150 4016 3564 2172 4594 3241 2162 1558
2112 2088 2918 1490 2693 4684 3647 1891 5879 3828 5474 5217 1088 1085 2783 5198 4739 3893 2171 4529 5685 5245 5555
5368 4663 2798 3844 1065 4992 5138 2604 1796 5201 1953 1365 3836 1818 2907 2141 1164 1128 1921 3144 3410 4368 2482
1706 5782 4847 5184 1193 5527 1985 5136 5725 1920 3281 1254 3658 1683 1298 1042 5852 2156 3743 1023 4107 3413 5051
5888 4458 4376 3906 2369 4872 1626 4450 1646 3207 1917 5200 2864 1315 2367 4665 2786 4698 1397 5960 3950 2843 2197
