V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
1401 4218 1691 1778 5140 4517 4992 5241 5510 3895 4448 2578 2199 4323 5124 2467 5555 1116 1857 3892 4368 2326 4118
1340 5489 1963 2975 4134 1191 3989 1375 5268 4042 2008 4798 4031 3917 2833 1957 3898 4122 2021 4031 1393 5303 5432
4541 5861 2574 5689 3085 3256 5867 2697 1946 2273 2438 5690 3959 2783 5342 3389 5925 2993 1757 1371 3078 2620 2277
2969 1054 3941 2245 5821 3561 1883 3339 2378 1606 2761 4913 5250 3650 5904 3704 5648 2436 1100 3422 4428 2915 3582
1637 4843 3453 5311 5391 3245 1443 3892 5314 5461 1955 5333 1854 1710 3908 3832 3631 5998 2183 3008 3352 2006 3736
1271 1012 3423 1219 1858 3383 2731 2320 1097 5961 5133 5718 3630 5041 2175 5687 5463 3341 2138 1707 4596 2026 4587
4834 4005 5342 2435 1900 4397 3758 1177 1689 2973 2714 3928 3124 2527 5379 1302 5215 1802 1856 2366 1206 4321 1312
5639 1264 2168 5429 1763 4996 5440 2065 1503 3206 2026 3675 2620 1707 4913 5138 1611 1652 1452 3936 4677 4685 3050
2988 2837 4264 2200 2839 3609 2249 5944 3127 1942 4560 2085 4799 3066 4822 4688 1580 1232 1051 3184 5840 4574 2064
2248 5808 1655 2119 3071 3260 4384 4178 1390 1695 4042 3979 2035 5404 4043 4225 2627 1948 1532 1081 2577 1951 5598
5496 1210 3378 2870 2528 1823 2272 4321 4700 3707 3322 1663 1922 3857 1152 3043 4927 1685 1133 1875 1428 5089 2939
2511 4529 4423 3817 1005 2541 1813 2317 3866 2127 1588 3535 2096 2818 1709 5855 1547 2556 1975 4601 2790 4612 3588
3515 4177 4953 3064 5908 3328 3382 1981 4310 2984 2271 3292 1094 5602 2714 2923 4157 2668 3385 4920 1439 5029 3101
1753 4140 4858 4497 5127 2288 1209 5211 1420 4792 3971 2658 3078 5349 2569 2682 2373 5955 5207 4072 5497 5731 5027
3696 4982 2653 5909 2447 4257 4225 5920 2738 1311 1319 2239 3860 2408 5393 5658 1539 1541 3028 1424 3200 1484 5785
3839 2009 2620 3362 4705 2776 4920 2017 1393 4735 3675 3181 4325 1573 3026 1124 3850 2289 4962 1236 4493 4661 1941
1689 5029 3883 4921 2620 2333 3707 2270 3138 2815 3162 4064 4137 1518 3144 5086 4173 5351 4283 3601 3201 1836 1615
4552 5067 5138 2370 1632 4901 5880 1783 2595 3516 3933 1027 5280 3545 2602 5527 4074 4238 2615 2814 3768 3076 3250
4284 1124 5072 1496 1756 3311 3907 3434 3258 3829 5835 4494 1982 3593 1606 2760 2884 2842 3708 3644 3105 5999 1101
2849 2196 5786 4390 1895 2914 2997 2991 3906 2980 4206 3305 4433 1798 4639 3094 4247 2369 3060 2022 1374 2909 2341
