V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
3943 2335 4345 4936 3126 1456 4388 2297 3997 5936 1554 3906 5472 2373 4533 5542 1154 2518 5612 5141 5961 5289 1394
4103 4542 3176 4905 1606 5876 4973 3305 3611 5911 3804 5686 5539 5314 4215 1499 4382 2812 5643 2928 5489 2712 3623
2586 3503 5136 2720 2119 2539 5052 4755 1665 1155 4040 5148 3733 2903 3317 5131 5723 5952 3568 2567 5793 1161 4224
2758 2193 4528 5741 4200 5711 1572 3042 3887 2037 4680 1137 2182 2723 3509 5465 3503 2840 3943 5805 3683 5811 2666
4021 4176 3568 2151 4962 5746 3206 5464 2570 2680 3808 4193 1153 1417 3748 4695 5642 2415 5722 2691 2177 3756 5947
5789 5108 1190 4982 2138 5770 1600 3604 5631 2733 3341 3627 1210 4653 3851 4987 3358 1169 5447 3661 1592 2982 2430
3084 1281 2217 2643 2497 2009 2277 2398 2229 1122 1894 1754 5878 4458 3091 5904 3214 3271 5554 5376 2895 2189 3249
2395 2952 3327 1223 4970 1647 4260 4830 3250 4071 5416 1375 5007 1060 4684 1928 3570 5366 3619 5384 1944 1966 2917
3034 5401 4719 2291 4122 3359 1724 1214 5305 5799 4349 5491 1972 2062 1780 4002 5931 2005 4829 5471 4234 4997 3013
1302 2319 2556 4281 1103 4793 4463 1159 2325 3047 4012 3627 3071 2867 1997 5369 5576 1592 1290 1502 5521 1548 3395
1804 3664 2726 1896 2969 2110 5084 4140 4633 5687 1631 5844 5250 3065 3820 3685 2586 3355 5824 1841 4404 2446 5984
3766 2145 3870 3168 2917 1315 5308 4665 3003 5951 2595 1459 5050 2263 4769 4528 1279 4972 4106 3597 4238 2636 5886
4255 3170 2269 1007 5822 2575 2052 5932 5998 3913 2814 2205 5265 5940 4938 2618 5705 4532 2447 2649 2008 2413 3509
2828 1572 3062 4284 5694 5441 4684 1939 5299 5844 2556 2870 1196 5614 2868 5890 5445 4704 1653 5633 1750 4605 1583
4375 5788 3540 3793 5695 4453 3505 4318 1515 1556 4223 4979 5340 2246 4585 4810 2947 4931 1521 3202 5122 4487 3879
4954 2851 5946 1801 3725 4813 2455 5118 2925 3588 5122 1985 4890 3301 3857 4542 1250 3660 3588 5654 1930 3064 1008
3249 2996 2857 4739 2908 2271 3918 1007 4820 3697 1285 4163 1077 4930 3884 3069 2352 3939 1052 1469 4815 3078 2235
4284 2075 5298 2873 1672 1582 3918 1618 1716 5355 3804 4959 5105 1222 5622 2294 4224 2291 4157 4726 1795 4937 4558
1685 2115 5094 2789 1047 3586 3561 1073 3274 5633 5530 1042 2605 5202 1188 5210 1507 1184 2351 4915 2787 2817 4550
1569 5285 4038 3267 5897 3623 1884 1437 1483 1427 5122 1309 1872 1974 2827 2823 2095 2816 3981 2952 5761 1116 5802
