V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
36502 36098 26022 26589 30321 24017 37757 28366 10337 14729 17712 16671 43336 32357 49527 16324 13670 32497 18192 23735 37360 19722 42019
36945 38952 20797 45497 26352 41877 19372 21035 48297 11514 35493 11734 25139 46276 21179 27347 14599 42098 11377 24215 49324 15792 45142
33870 22203 35672 21153 22901 41551 26623 28826 31392 41674 48686 16670 38127 35980 28564 39715 27686 34256 21985 21453 29329 15251 35019
35137 35608 16810 37082 17701 24888 22702 19444 34359 42723 17551 23493 11847 22573 37136 45595 15700 14575 20054 10924 43064 11946 43553
18713 46283 40716 14325 40775 31098 15746 11346 26874 28774 27784 38626 21871 45350 39673 31530 20708 43446 44232 36619 35986 16470 18455
23861 16424 49301 33264 41355 16844 47022 14896 48331 45690 15391 27062 25853 49217 10393 28471 49320 43739 32532 25169 17284 48094 33264
16072 37168 39715 14826 29260 27472 49315 37987 25002 27452 29219 18826 42941 35602 13960 29734 16312 28205 19616 20363 20374 14889 35071
34767 40675 23377 17418 28314 37278 16558 17128 21144 22117 32404 39157 33947 25681 44056 29215 11174 18583 26449 29509 47940 39631 46579
48230 39526 26324 34371 13268 36515 26043 41487 43311 22133 44099 44785 27288 16355 44822 16697 39169 22609 31876 48470 12902 11229 45658
33368 36905 49655 39978 49168 44421 48420 48012 22082 38148 33931 44343 26035 25690 35971 37382 19475 45806 34154 46512 27544 40436 28789
33071 36843 45556 33014 28971 46843 32296 11903 32843 42409 30815 37111 31079 45092 14775 44387 23527 45023 30247 35560 19525 14897 44460
33363 45049 33999 15606 36530 22028 30977 16777 40240 32012 13371 41504 27864 11421 19323 20047 13839 10936 49098 23105 45638 41237 19176
40927 34019 24571 40239 20158 10209 26048 42260 41364 24576 38796 49405 12287 27751 34902 29626 21973 10093 33728 39499 34102 18668 24153
24222 41587 13611 14881 31824 43792 31089 44647 21831 18465 17274 21851 15345 37732 12078 34861 46816 32397 43495 11031 38118 45012 12120
34225 25790 40115 28618 36269 25777 12802 15579 43477 29447 35731 34909 11334 33112 13426 15990 12253 19089 44613 25074 14372 10880 39077
49533 46876 49155 10149 47880 35828 12732 23118 45141 37694 48687 19433 38285 49225 43292 42090 27137 19703 13512 14739 21436 47896 32100
38047 13239 23381 47543 25851 17079 13694 35239 11034 11400 20683 45037 23549 10226 38203 37094 27348 15354 18160 46113 12980 14079 49581
35913 28336 11716 28788 37304 14393 48219 27483 10786 22077 40822 47609 20474 24170 49953 24500 23320 46751 31637 33410 19211 29244 34792
16336 14497 25431 47891 32854 25141 32943 41844 29677 40200 47626 27249 22717 22314 28777 39281 37798 21888 28405 22577 23211 26198 19385
25728 37228 34245 48293 42626 33383 47971 16608 12877 48140 11337 24213 17839 33242 33314 10822 29057 20796 15738 42833 36748 27108 40934
