V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
25456 22969 10814 24439 39946 35092 45348 12611 11835 13358 23479 31455 16677 33689 48392 27043 37333 40547 37472 32448 46713 37278 27557
15149 19492 23574 16279 34722 37102 28443 20920 29375 23421 33734 48757 11421 32215 24769 31294 33924 15212 10525 24763 41746 21945 38685
23959 10828 26868 15523 48201 29791 35801 13055 17239 35526 34838 32219 43256 23817 46626 43570 28145 28725 20216 16092 36134 22902 14699
25417 11371 31874 11087 15039 27475 17389 45091 22504 48297 29547 36682 15085 21385 19249 16185 42069 44777 14684 18545 39808 47632 49118
40463 17014 30082 37281 44955 30385 27666 41998 23771 26851 14449 45729 23169 39963 30902 22704 10395 14615 17991 33608 22330 46323 26502
24063 39158 33817 29629 16013 14227 31713 21415 38660 48389 32641 16309 34695 20477 41488 36574 41544 39370 27759 19042 37603 31469 13995
26653 12319 25955 41126 27275 34411 12519 25159 38186 12807 36559 30471 32376 44555 24164 18588 46631 44000 41868 27739 27685 27585 16597
19343 24445 23772 38020 21107 29128 10115 24507 36734 36697 32459 17816 40208 26644 11694 27348 15082 32476 22053 12387 20739 20853 25714
19525 11267 16856 23584 13777 12068 35516 34607 41913 30696 11020 47795 29652 10068 10079 26738 24695 40985 13919 28989 22917 12697 40256
37813 37497 24380 15856 25026 19515 12020 45954 38017 29027 25088 35560 35400 40449 21278 25426 19970 39998 46301 36500 42244 46031 23693
23403 21081 37684 21846 45870 15333 18621 37296 13017 37053 49034 15672 48630 41707 19964 15472 23128 42373 48935 10097 16925 12469 35214
46847 37336 10913 12915 43020 42209 30902 26849 47104 38076 15143 49098 49802 43059 44848 28674 16206 42063 45336 27472 13052 23159 42855
42437 35157 29825 39415 39497 28232 15978 45832 41636 39917 13843 12908 38896 17992 16654 40685 11388 17989 42846 30465 18768 26995 26672
12726 30682 49530 18494 17937 44865 48132 43317 38878 31093 18316 10365 24914 35750 40807 29801 14578 11889 29423 36159 36316 24552 21543
40692 40710 33738 38121 37114 21820 37052 49835 34769 47962 14949 10869 12792 16473 37978 41711 27220 45012 15460 41148 45587 38488 32218
43606 48964 26927 10895 30544 36228 37054 33457 10881 15351 34060 25796 19704 23939 24495 15479 43977 46705 41028 29109 49462 28858 38992
46965 33154 21573 25593 30796 47827 36343 17256 18809 21609 20041 47871 19832 19865 30948 12802 40631 31575 47993 35676 11600 17505 44171
17652 14303 40928 49973 14792 18903 14418 48323 14268 20952 27835 40140 11393 46741 13930 42098 19107 36794 28550 49046 36099 32834 21169
26909 30180 44139 26550 30914 16936 42290 37509 19158 19192 46815 34817 12427 33164 42808 26093 16942 24792 17482 31355 35012 19872 26851
17039 26951 10754 41737 40998 43997 38300 48635 12871 30470 34569 33405 30412 13850 44566 32726 38346 21550 22441 41115 41988 41331 35528
