V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
33878 13511 33934 45735 49179 41913 43783 40885 32880 29305 39403 44689 38020 22510 24181 40916 11052 15703 35508 36035 34535 23323 24555
14461 26718 39338 30271 31782 37209 49046 13297 34311 34720 48516 31130 31950 42898 42705 24396 21058 49121 37323 42361 43863 39577 31588
19546 19333 17923 24337 35066 14460 17502 14928 14562 43891 29519 37172 20848 36776 43927 42003 48006 15483 26680 36851 12835 49312 13070
41201 48947 16857 25631 11046 33543 42397 35164 25569 41895 34232 44161 20349 35723 49431 11366 48046 49025 10410 31574 49450 23494 47180
20891 15905 40753 40036 44587 29148 39002 39919 12853 24922 24575 15111 19993 29085 40720 37089 12375 33350 41100 25374 33037 31713 34080
32148 13909 16667 36824 48360 30887 18157 46156 31143 37537 45329 29857 28821 10107 41251 25259 13480 49808 12998 20415 11202 23017 20202
10667 16322 24507 21711 18583 40232 24844 42058 26125 29956 28388 10676 29586 17613 47078 13096 44590 35573 18613 28168 11249 25755 24497
23538 26608 31178 47366 34144 38969 40378 21987 41266 25144 27759 35755 14044 28443 48090 47089 13934 15992 15355 48742 10689 29732 17008
27666 22994 21044 25764 26632 25564 13127 12925 34568 49656 48317 44303 31396 41707 19859 16702 48636 48979 20031 48604 30391 29781 29342
46227 25044 38080 15344 29310 42594 17779 18836 42862 41528 15801 19716 35528 30875 21634 44799 13231 32888 32608 48737 45141 20546 31652
12241 41883 23150 44370 27323 23757 28853 19913 36395 30504 43039 10181 12800 35731 23882 42709 38092 43654 12395 33717 14029 33801 36373
48846 33049 35974 49442 39898 22398 30885 26396 28932 32872 45019 14848 18822 27936 33716 26593 41246 20030 20403 23754 20948 44331 31712
34906 22603 41861 47848 21941 12345 48637 25387 49178 44715 48076 27483 21277 16783 15475 28249 46580 13600 30352 29152 44962 32891 24810
28046 42022 21201 22164 42857 30352 22056 46370 22868 24561 27681 30053 41841 12557 16404 22236 32878 19693 11947 24931 20481 34975 25965
42797 35037 21111 12783 14392 42188 24095 41766 12480 24207 26328 12399 40217 48067 38322 45206 13339 22651 35064 20601 26826 43564 25457
38307 35510 43485 45171 19993 41781 47163 14300 38725 40656 13390 29454 28917 48144 39589 45733 25164 41134 25640 17166 31346 14744 22547
20050 36099 24036 32341 15987 19736 26302 30216 29537 15652 11607 15087 33100 48197 32038 45623 48824 38327 18274 35947 15439 11601 22564
27082 37545 36618 37518 23596 26191 33882 36223 12802 27151 25963 11141 23024 36584 23510 15922 36765 39257 10578 46353 23237 36760 30581
11018 42754 36692 41968 16067 19433 31657 25119 13596 38465 24266 10236 30176 24560 23377 31845 47239 37598 22135 34534 37046 12011 26454
14493 43558 17988 19227 39313 46905 11887 36045 19994 37556 25449 28184 30260 47248 45410 22328 42688 42402 41818 42556 13066 18552 40849
