V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
35305 31498 44234 16384 16546 15740 39570 17743 18782 29727 13036 48686 33271 21883 10130 17306 25745 16438 11086 46791 38041 23625 16507
16595 48736 48971 31291 46512 18596 17325 19928 19673 43503 13983 36040 28996 42906 21620 40719 46932 46623 29309 17281 15635 16037 37140
18398 48657 32766 48933 46605 29842 36059 30990 35671 45716 35958 44500 22413 16572 15047 18616 31200 15345 16460 22883 35623 41567 19417
32583 47399 49094 32231 33964 47444 31893 19593 12260 33141 35167 21521 23360 20582 48546 40457 25489 27610 44319 34157 10150 44273 34913
33108 17247 13894 33669 15854 39968 34859 21080 25608 44879 14656 42481 11603 36705 25640 18746 48958 18426 10502 19296 20638 29714 34003
46290 41018 42182 21960 46678 20036 42478 22794 35256 31029 45320 10874 17712 12665 28689 39130 13450 22519 18835 21855 38666 49010 16172
25352 17832 41634 48609 15537 19996 49014 32531 16282 25426 11000 21415 25699 25401 19217 18249 17722 46292 28367 27735 36457 13063 10635
18685 35634 11216 24868 47712 36556 34453 22996 45043 30830 13533 30998 23990 29356 18205 16200 28825 41131 26875 18256 13464 24064 19269
16006 45785 45793 23400 35385 37950 19152 19919 12082 26545 14533 12924 28369 16102 24631 43930 21283 46529 15256 48835 28246 40246 37886
28717 41491 41079 34231 35169 11231 32880 35988 37383 41588 37031 46357 19659 11582 40069 15578 36277 42402 35196 13419 47185 40966 11570
30220 23250 26382 23214 12822 24531 14784 48678 16570 10636 28268 15431 49717 36055 29382 44284 14266 24652 10766 13585 29799 21173 32481
46944 41127 16194 18188 22502 13755 46837 23249 39570 37837 13279 34684 24082 33898 48606 41275 33644 30869 29957 37152 24056 11864 43204
43805 40547 12710 17175 33893 38416 26562 24117 40007 29144 23768 18971 40271 42357 10421 25888 26712 34062 22375 17347 37840 15712 19571
21447 39146 40370 33988 44141 17226 34114 26940 11891 49322 24631 29334 37710 19619 19491 31678 37296 29558 12991 14773 42215 43109 26918
28147 44708 30145 35275 25732 37960 21723 45738 13819 29498 19081 15990 40001 38289 27397 42771 25298 38651 45475 31267 18146 46518 20666
46490 35434 17249 41123 10611 11063 23108 45127 40552 19553 23444 24408 45288 43573 26493 26189 38703 13144 16427 24136 10187 11781 10343
48484 41635 42955 22787 34486 32265 12552 31326 18875 45677 31206 17561 44492 29280 17448 45199 30798 40174 39958 21043 22362 13729 25148
46736 25622 39777 20875 19992 37479 33205 39171 49648 33449 25107 26462 28062 28492 12628 42328 15900 44162 29786 26193 30082 32070 47081
11070 31356 46124 21414 47144 20198 44641 18160 48087 10988 49981 16621 39277 18220 49505 39401 13869 18049 46223 43910 24642 36692 16053
11975 35271 35307 28903 18815 22010 20004 11297 37560 43639 34349 24759 44192 13801 19111 26781 29880 11597 17896 42459 27114 19120 12371
