V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
3907 4251 1541 3026 5780 3339 1322 2095 1117 4424 4137 4343 2055 1193 1151 1400 3853 2090 4875 3954 3351 4188 4028
2552 2450 5401 4916 3139 1412 2904 4069 3142 5297 4489 5053 2741 5748 2002 5174 4201 3947 3706 5001 1061 3991 4988
3338 5153 1507 5759 2384 1841 3168 2065 3072 1530 5408 5226 5718 2576 4497 2525 1866 5712 4863 3993 1496 1885 5768
4999 1598 5961 1982 4852 4076 1189 5854 1875 4488 4678 5926 4279 5577 4822 5779 5113 3699 1069 4118 1045 4632 4791
5201 5114 3176 5859 1751 5577 2553 1422 3776 2312 5393 2453 3455 2677 1390 4611 2604 4882 3363 4840 2889 2445 4852
4478 5952 4576 1384 4902 3968 3677 1363 5795 1296 2725 5907 3153 2397 1023 3669 3843 1818 1361 1142 4530 4272 5337
2309 5718 4644 5380 2034 2287 5090 2555 4235 1576 4255 1844 3267 4914 1661 5137 1494 3873 4158 4177 2720 2181 4612
5191 1826 4195 3242 5541 4188 3343 2732 1850 1220 3975 2969 2240 2581 5542 5549 3766 2721 3065 5361 4405 4821 4403
3539 3104 4611 4669 5624 3320 5274 4001 4831 5535 2107 5805 1462 5902 4277 5280 2621 2717 3670 3862 5868 5140 1725
1042 4633 1809 4781 5268 5093 5445 2740 4879 1663 2901 4122 3482 3728 2890 1035 3068 4536 4389 5350 5660 5817 1827
3598 4596 3587 4740 1795 3052 5091 1631 5482 3095 2791 3547 4326 1525 3274 2312 5740 5834 1888 2138 4532 2571 3826
2497 1867 5751 4753 3494 4196 1683 2077 4776 1167 2547 1241 1321 2108 2651 1402 3232 5429 1133 5912 2937 1123 1790
4416 1848 2660 1426 4370 3401 4107 2975 4238 5706 1505 3260 1263 3367 2277 4167 4146 3542 2467 5290 1536 3047 4049
1709 4856 4984 4372 1041 3198 4736 5725 1552 1713 5874 3897 1716 2310 3967 2944 2237 5891 3854 4147 2593 4833 2207
2251 1384 4876 1781 4518 3919 2696 3097 4519 3099 2761 1192 4590 3314 2241 5286 4812 2982 2174 4497 5139 5687 1560
5905 1836 3128 4992 3600 3347 5887 2842 2254 4339 3894 2944 2532 2114 5488 5192 4295 1146 2408 1962 1538 4485 5053
5834 4845 3988 5901 4731 3221 1950 3007 1607 4786 3059 5774 1023 4113 3239 4614 4450 5988 3557 3095 5742 5422 3942
2139 5782 3502 5434 5520 5451 2946 2152 5268 3963 3637 1334 5708 5536 3836 5127 1765 3865 1057 5230 1204 2020 5364
4446 4048 2984 3739 1878 3367 4635 2328 2626 3907 2945 2452 1930 3623 4154 4746 3374 2130 5919 3061 2088 1039 1243
4468 3843 5516 4896 3353 1787 3153 5433 2010 3351 5765 2937 5746 3579 2379 5398 3414 2373 2486 2537 4098 2115 1144
