V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
2298 5502 5435 4944 4431 3748 3680 5725 1749 1881 2643 4454 5994 3199 2094 2731 2945 4539 5501 4090 1455 3334 1885
4152 3831 4550 5541 1424 3777 4297 5049 4875 1457 4442 5744 3676 4585 3669 3179 5923 4284 5144 5500 4321 2092 2391
3782 5601 3859 4775 2596 2861 5126 2035 4675 3715 4147 1035 1763 1439 3898 1582 4841 3091 1024 2239 4033 2390 2480
2885 2980 3528 5532 2513 3102 2059 5221 2908 1541 5021 1471 4802 2142 1109 2920 3696 4283 4370 2772 5816 4225 5870
3756 2117 2926 4163 3590 5105 5325 1809 1405 5220 3308 5378 3795 4189 2704 2657 4395 5769 4311 5480 1778 5066 1505
1278 1332 4802 2364 4778 5762 4844 4441 1452 2179 4312 5179 5722 4283 2678 3474 2037 1796 4805 2617 5070 1077 4826
1420 3349 2544 2079 2196 2642 1583 2735 5995 3920 1134 1893 2557 3786 4765 4406 1389 3869 5247 5491 2051 5787 5923
2376 2836 1257 4356 3379 3266 3331 2110 1393 2600 3685 1198 3339 2606 2063 2323 3527 2001 4994 5044 1946 3299 4768
3843 2278 1646 1433 2184 3399 2578 5777 1078 5507 3720 2423 5784 2372 4916 2931 2811 2339 2802 2305 3555 5537 5101
2789 2715 1141 1133 5359 4681 3629 3764 2512 1286 5493 2299 4005 1738 5875 5852 2011 1558 1811 2022 5147 3381 2329
1043 4605 5582 4585 5433 3873 3818 1841 3858 2931 4351 2946 2713 1499 5065 2857 4385 1530 2097 5825 4906 2549 5145
2437 3602 2960 5434 4828 4771 2836 4428 5646 1584 2561 5861 2649 4251 1945 4533 3873 2730 2903 5836 2732 4576 5445
1072 1054 3616 2303 3690 2717 3278 5787 1730 5527 4021 2107 3227 4496 1207 4778 3722 2820 5111 1262 2068 4479 3784
1522 4290 3508 2899 1235 4095 3198 1131 4123 2335 4265 4568 1133 3637 2764 2622 2939 4491 3001 2814 5795 3685 2392
2509 1655 5874 3410 4864 4622 2223 5576 3903 3126 4821 2072 1768 5487 1741 2598 4603 3678 4336 5342 1925 3220 3415
3608 1338 5065 4604 4493 4283 4098 1140 1418 2214 5259 3025 4209 1923 1546 2104 2226 3975 3703 4350 3027 4895 4552
1440 3949 3042 5903 5908 3313 2907 5151 1867 1045 2177 2454 4456 1460 3661 1160 1041 2871 2032 5734 4598 2397 3098
4379 1719 1433 4404 2138 5885 4130 1627 3962 1937 1856 1296 2117 3599 2343 2625 5998 1636 5969 3449 1239 3127 4902
2270 1235 1949 2184 4718 5861 4192 5615 4117 4241 5647 2465 3850 1374 5684 4257 2335 4285 1074 2647 2398 4885 2794
3963 5867 3295 2466 3356 3487 1548 3827 5008 1363 3700 2446 2579 4691 2135 1685 3594 1502 3491 2578 2025 2320 1080
