V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
39777 49542 15466 45769 27760 29150 40975 20593 12472 45668 23503 41812 42265 16356 34687 10784 25448 33007 12847 31649 15584 13692 31016
14596 14361 21865 13198 20971 43495 25823 24817 28601 12761 14260 26010 36909 24967 28702 24973 37527 32782 15605 16427 48014 24084 11906
42652 28942 48741 41266 21973 21003 23658 48794 11682 39471 36990 41001 49955 36335 10251 15313 11817 42649 38899 19968 46087 47174 35493
30064 31288 28917 42598 23637 19251 24837 39191 37226 10842 46970 33357 15444 46360 31967 18060 32134 21451 32756 31780 49999 16470 44061
16034 16210 20516 42816 28339 26298 16792 24656 28579 40513 27639 29798 40644 22748 13704 21498 23816 10277 46666 32846 18596 40955 49156
44704 44141 32366 27074 44791 30362 19323 27144 42426 37698 23833 19232 48143 10699 20059 43048 48817 18909 41155 13803 27085 40408 43639
46459 41557 19773 44293 14409 18919 10734 40215 36932 17621 24132 33943 41914 17754 13401 24201 46621 11362 37794 22216 13217 40979 28760
39741 48125 13660 31607 18174 17670 40196 22589 48718 30202 49324 28117 38925 36687 45970 23326 27849 37007 41069 47143 18025 32560 18703
24637 45105 36368 37586 20625 23973 21471 30097 14880 25953 25116 18386 13997 30960 37796 25337 38064 23897 15838 39596 26657 40044 22529
15764 16639 29995 13179 23071 21669 13656 22363 10716 16310 33326 24053 31476 32233 45793 24511 47577 49068 14299 32417 11022 12520 36765
13035 21669 39546 47134 17259 46559 33349 44517 14930 15456 30377 19864 30203 47298 23063 14457 48694 49593 28825 48959 14395 12073 24800
33267 49830 39138 40365 24661 19426 46170 49536 18042 35512 25478 40363 48984 38049 31834 16724 36335 36090 32286 16967 49936 14298 29186
27869 27773 38864 17279 12373 34575 26985 10220 39325 47935 26938 27669 49729 37754 42723 30282 28657 25908 28705 25283 35387 40363 39758
21059 32950 39918 13302 13759 29076 25559 46981 42226 32624 29641 30070 23972 49067 46464 39679 44943 35730 29244 24508 19505 45206 42835
37868 35282 14628 22612 29700 11718 28393 14627 38086 35071 43482 39833 49652 22900 43369 33419 24660 25964 42811 14144 20200 40571 43048
47170 34041 34287 19012 39250 49931 35671 33483 32374 22727 24293 49979 30584 28580 19387 30098 14652 32536 29070 31161 21769 12819 22370
41964 45708 22811 26777 33002 47347 15734 34708 31940 37468 42508 30243 12945 35975 23698 32671 22888 25026 39904 46613 12430 47081 15862
14419 43865 14865 35418 16586 20122 11571 23534 45639 22585 21725 12943 18006 32995 32181 20728 37786 46078 44732 34582 33884 25012 28390
17753 38046 21312 25714 42457 38028 30826 39191 39231 37712 12986 47656 13071 23577 37731 47599 17853 11111 42272 40131 34265 46196 10269
38461 14278 16191 18802 48325 42675 35339 13734 35962 18800 28291 30346 14275 33087 12421 26001 34796 19160 27097 29552 10361 38357 41997
