V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
27143 37752 47718 35072 16155 13614 49009 44787 48992 35660 28378 39569 17328 18400 11445 11518 49638 25358 34717 34071 22056 25131 30849
49081 20721 30734 43261 16934 32815 45569 39423 42723 37865 10794 19674 24684 13330 40888 10916 10606 48789 39800 17517 34842 17751 30643
26640 27190 42685 15279 39756 40830 25368 34276 15580 38529 47527 38520 18012 13404 44812 29768 16779 13242 38381 38941 16667 18044 12637
29489 45068 45744 35514 17637 14939 45136 49333 24346 18457 39063 36006 23282 46701 23128 13903 44867 25105 16238 12800 31148 17626 30073
26443 36580 42053 31208 40192 19968 30964 37636 18444 47886 32542 31966 39037 10831 28436 43800 39369 10369 13062 16198 23921 11390 14500
49440 37557 39522 21852 45217 39552 46329 38893 34714 35220 11794 29059 12386 39280 30663 38981 34340 17893 17288 11407 37066 27383 10610
49907 13333 33071 30170 28338 30316 13929 33094 16801 30776 31109 22964 47359 36942 10875 43975 22672 21266 16526 23277 17761 10034 37228
26183 37838 17078 31549 13335 26791 14583 13980 39952 14826 20725 23204 22998 27827 44163 15968 31963 29832 23870 12952 47408 37022 37443
47884 42094 44497 19089 31961 40453 32012 40993 46907 47974 39791 22041 26292 30697 35553 33152 26278 42851 15536 22635 14225 25914 18654
26019 17758 13076 27241 38186 13634 27481 17291 17193 23681 33610 41563 29996 19784 41288 26632 13085 31324 29045 33142 41573 37030 49899
10590 47778 32591 17758 44390 33163 34951 41566 24268 18528 31958 39268 48905 37379 30921 34821 31298 41451 22715 35022 41106 25465 48023
45622 22337 17765 24109 34391 36301 12060 22426 37288 20889 30902 32416 36265 36559 18993 25790 34153 18555 41687 22507 36973 21701 10360
42307 34687 29242 27212 12502 39132 44939 11696 47710 39549 19216 32255 21590 41111 27792 11882 21966 26910 15262 36906 19357 26762 29694
24876 35001 48702 34595 42753 46500 21796 46389 14569 34557 26384 21441 49269 44104 45006 15745 42295 31084 30840 42182 38212 29991 29879
29769 30036 29863 21988 40385 29656 19888 34778 42461 18553 33426 41916 49173 43075 16722 46614 15402 10087 41787 41696 31820 29708 40191
13532 12359 40326 28878 31238 26427 19517 22987 20836 12994 39519 39179 36755 15581 45375 24875 30622 36186 13458 34722 14541 30052 48659
19473 28441 35755 15067 15163 46180 22222 20176 38167 28943 45564 32132 49777 31115 33754 28765 40011 10392 37957 13357 29485 37816 10176
37733 14355 32064 32824 24863 49895 35451 38348 32354 28514 36758 45306 35967 36359 30038 27802 36004 28634 49461 48772 11060 31993 33420
19330 24216 28654 29582 16253 21970 12304 11510 46466 13647 25377 49740 46271 22855 22469 24866 49685 10697 46742 13220 19220 43786 10044
36696 15424 27534 24794 14550 44550 22235 30613 45552 29838 33300 17601 16826 25478 45988 17374 10046 16721 11937 23671 15795 22061 49618
