V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
2772 2161 3232 5830 1271 5933 2690 1226 1373 2444 3568 2650 5519 3308 3915 3197 1449 3165 1861 2134 5168 5577 2732
2676 5347 1875 2555 5982 2823 2276 1289 4038 5645 1752 2656 2964 5481 4642 1919 2410 2737 3277 4168 3510 3118 3047
4093 5854 2679 2723 3697 5949 2795 4429 1217 4287 2572 2327 3520 2136 1199 2274 2072 1253 4432 3672 2271 4314 3476
2928 1829 4755 1640 3171 4900 2032 4377 1131 1335 3446 4703 2766 3776 3553 1574 5910 1660 2894 1954 2254 5637 2076
5668 5751 1225 4642 4006 2917 5268 3942 1404 3260 3568 3216 3196 4345 5340 2772 4650 4416 4798 1742 2454 3943 1675
2725 4359 5337 3295 5118 1600 4339 1133 3722 1674 2086 5598 4930 1273 2424 2291 4608 1536 4635 5181 1676 3602 2934
1612 4804 5317 3093 2218 1170 5192 2004 2733 5215 2830 2836 5798 3146 2818 2538 5330 1375 2868 2253 3796 2193 2317
5935 2794 1564 3266 1045 3313 4197 1514 1319 2782 4086 4293 2186 5312 1470 4957 5204 2135 3900 4188 3253 4858 5676
4883 1746 3681 3661 1043 3514 2131 2335 3542 3596 4637 1771 3523 2793 2116 3342 2295 2250 2052 5301 5962 4311 5496
1621 5945 4641 4425 3154 3229 3045 4528 2871 2550 1524 3179 5732 3687 3106 4364 1385 5734 5553 4751 3727 1387 3102
5174 1137 1377 4697 3677 5531 4525 2551 3558 2179 3758 1916 4734 3088 1436 3839 3245 4502 1551 1669 2273 3078 4537
4642 5677 4852 5791 5067 2312 3131 4336 4914 1749 4488 4080 1463 5193 4217 2222 4915 5219 3724 5516 2257 4136 5870
1123 3734 4939 1540 5441 4358 3558 2203 5656 4128 3742 2335 1194 3311 5109 1582 3195 4897 5783 3636 1352 2333 4908
5472 3297 3177 3490 3882 3511 4710 5926 4873 4025 5790 5039 1886 2547 4950 1982 3184 1347 5699 1622 2354 4181 1051
1553 2394 3315 4471 1052 5912 3281 2683 4500 5864 5670 4127 2214 5567 1279 4392 5705 5945 5312 3018 2565 2710 1365
1888 4994 4921 1158 1899 1300 3835 5868 5632 4998 4539 1799 2853 1639 2947 5502 4476 3963 1192 4630 4888 4019 3450
2164 1537 1062 5025 2465 4420 4636 2174 2843 5758 1520 1499 2084 3219 3662 3468 4698 2323 1460 3059 1097 5031 5486
5544 2393 5252 3030 2639 5430 2259 3420 5011 5749 1167 1400 1679 2582 4009 1632 4896 5294 1822 2228 3317 4666 3973
2111 5927 3615 4942 5463 3919 2978 4870 5691 2068 1575 4796 3965 3821 3251 5645 4385 4779 2915 2195 5104 2473 2102
1179 2506 4763 1519 3678 3953 3527 4475 5011 3412 4435 2145 5946 4596 5026 1505 4271 5804 3178 4707 4015 2630 3090
