V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
5135 2623 2609 5117 4915 4989 2997 4530 1778 3839 2565 4096 5736 2150 4909 5081 2442 2814 5459 2726 4265 2853 5054
5751 1934 1310 1335 1921 2471 3773 2752 4323 2818 3554 1527 5395 1349 5672 2378 1203 4849 3173 3323 5430 4934 5872
3960 3778 3095 5219 4859 2192 4184 3930 5632 1412 5514 3467 4922 3483 3966 4788 5001 3715 2816 1122 5317 3897 2903
1527 2366 4299 5184 5345 4747 2380 1521 1627 3063 5080 1020 5762 2689 3624 3135 2679 4441 1045 3613 5178 3373 5117
4641 4150 2227 4870 2330 4448 2609 4087 4069 1843 4925 3056 3383 1877 1154 4106 2053 4215 4933 4094 1744 2009 1810
5546 5788 3689 3142 3626 2757 3586 2201 3137 4223 4992 5369 4775 1102 1150 4337 1865 3484 4682 3941 3145 3625 4111
4993 3426 1763 2671 5575 3972 4685 3931 3514 5294 1529 4011 2988 4302 2426 2613 1842 3743 1672 4566 1907 1724 2830
5738 1124 4406 2510 1658 4590 3814 2562 3379 5801 3776 4156 3490 3607 4041 3021 2108 4237 1534 5354 1658 4881 4986
4451 4451 2612 5462 1011 5708 2914 4509 3681 5271 5757 4512 5888 5118 2482 3867 3301 5237 1965 1993 1516 2746 5683
1374 5881 2287 1096 3659 5943 4146 2895 3351 4827 1317 5205 3066 5611 4189 1607 5809 1959 2995 2401 2899 5753 3253
1186 1447 1609 3392 1156 4121 3751 1670 4264 1996 1426 3146 5530 3375 1333 1039 1856 4460 2346 5816 1950 1535 4800
3382 2217 3343 2799 2278 4968 1167 5651 2604 5409 2787 4715 1162 1168 5947 4251 4809 1233 4846 3401 1532 5489 2905
3846 5919 2351 5973 2124 2150 5019 1176 3728 1713 4276 5947 5894 1265 2262 4457 5950 3538 2436 1477 5501 3628 1761
5214 3195 4537 1878 1789 4328 5591 5289 3156 2613 1311 2162 2144 1820 1323 3845 1536 5137 4260 2069 1417 3038 5860
2285 5459 1654 4606 1090 4923 1256 5469 1221 4310 1202 5975 1298 3753 2653 5377 2948 1503 1579 4694 5148 1341 1364
4322 3053 2912 1012 5752 4911 3305 4433 2769 3018 1662 5246 3440 4461 5287 5602 4466 3833 5426 4020 4037 1018 4705
4609 4256 5392 2051 3484 2229 3380 1696 5193 4986 3766 4624 4929 2039 2690 4780 2256 3367 4273 3861 3669 1939 5315
4365 1967 1994 3669 2373 4138 3476 3147 5525 5919 2528 5062 1821 5693 5524 3170 3248 2127 3528 1802 5256 1649 5527
4725 2765 2751 3198 2411 5914 1373 2808 3598 1053 1314 3822 5396 4025 4475 5445 3533 5605 3629 4502 3816 1816 5903
1986 4355 4624 5316 3986 3707 2810 1672 2002 2298 1476 4217 5387 4063 4011 3751 2166 1072 1202 5260 5833 2833 4985
