V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
4629 5299 5524 2879 4841 2481 1627 4642 4183 2325 4551 2715 1737 1236 1516 4374 1181 1718 4026 3746 4249 1684 5233
4546 1317 5632 4778 3144 3214 1565 5904 1811 1786 4503 3178 2395 5578 5892 1602 2659 3836 4449 5294 5336 2314 5755
2258 4688 3833 5874 2742 5683 2334 4823 1500 4447 1951 2102 3938 2364 4393 2163 4763 2165 1544 6000 5529 4923 4384
4063 4895 4798 5851 5532 5095 2583 1121 1056 3810 1324 2328 4663 2152 3467 1269 5216 3506 1844 2170 2244 5770 3776
4218 5192 2602 3098 1951 1108 2735 4784 4735 4112 3946 5936 3141 1779 5786 2228 4033 3609 1764 3135 4074 4333 2941
5231 5035 1457 2164 5293 3294 2024 3859 1253 1580 2030 2686 3901 2787 5695 1631 1957 1228 5157 5333 3414 3611 5643
4084 3468 2265 3768 5218 2387 4419 1462 3830 2363 2175 5535 5667 2433 4765 1358 4246 1763 1112 5695 3056 2946 5118
5089 2084 4340 5637 1223 2227 1498 4883 4085 1661 1621 3041 2568 3792 1770 3517 2963 3358 4283 5274 4767 1247 5345
4566 5918 1127 1617 4542 4909 2304 2938 5908 4618 3059 2434 5417 1192 3222 1119 2007 5400 1771 2535 5546 1185 3461
4680 5829 4873 3388 2198 1351 2684 2970 5380 1062 3772 3687 3603 5506 4859 1802 5178 5407 3746 1969 1345 1614 4136
1230 1689 3702 1254 2645 5795 5367 4252 4562 2712 2579 3964 2051 4835 3637 1954 2767 2767 1367 2162 2605 1089 2689
2738 1734 2808 3700 5065 5011 5301 1256 1340 2799 2865 4456 5117 5615 1124 1862 2158 2590 4124 4336 3064 4041 3598
3650 5229 3450 1906 4476 4920 5534 3743 5836 2631 5747 5186 1881 1700 2135 3194 2276 3434 1530 4749 5236 4229 2085
3748 1038 2169 5238 1813 1905 4338 5261 5106 4641 2986 5180 1617 1500 4591 5241 2889 3586 3804 1818 1790 5491 2631
1618 3591 3893 1708 4739 2600 1091 1858 1882 1414 4178 2478 1264 3714 3700 2409 4852 4908 4903 3412 3571 3970 4901
5365 5797 4711 1864 2834 5952 5769 5584 4576 1054 3492 2128 3742 3167 4512 3965 4028 5074 3013 3169 2302 2539 2221
4983 3413 3857 5521 3879 3987 4805 1511 1008 5016 3372 2749 1396 1995 5616 5014 1781 5867 4464 3369 3807 2916 1794
1504 5870 1456 5319 4776 3200 1357 1928 5165 2362 1267 2477 2831 2894 3604 2215 1205 2832 3444 3987 2050 5966 4394
5800 3185 1767 5962 2817 3136 4646 3582 2011 3609 5014 4037 4717 1866 3032 4591 1935 3226 2501 1245 1051 3756 4199
4295 5851 4378 5713 3805 1867 4472 3901 5684 1562 2058 1292 1535 2462 2246 2332 3346 2764 5014 5568 4712 2900 3619
