V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
31733 18708 30242 21212 45881 48095 46958 46821 48442 42991 29331 33620 45703 16580 44234 38522 13509 37150 18903 12684 11166 42938 46624
20049 17061 10029 21749 10184 21393 19691 39670 42663 25880 17143 44619 41566 49203 43675 35518 41737 22514 25043 47521 25065 49612 12748
15813 40208 26357 14699 42668 49108 28903 26019 10447 42008 35064 23439 41820 22470 47926 26668 32590 32048 40472 34630 41008 21605 47125
16584 32276 26482 36458 11564 39088 40163 41631 18983 35484 46929 44171 39254 21724 42673 36324 42404 40996 32681 41773 43103 48383 37762
27640 46906 33609 18609 11328 26517 28786 43597 41774 10824 24146 23461 28640 46194 12611 32043 25080 28463 15536 13275 18868 38804 38905
22960 32276 23310 23797 26138 37449 19346 42008 16834 28767 45807 29411 11118 13995 38760 10177 20597 15178 14533 12634 24528 31760 18270
30211 43417 35284 10255 45981 24187 41080 17208 15578 17116 22261 37199 37609 46550 47276 18029 39029 21056 32836 18222 11446 23730 35107
25581 22419 26046 30340 25870 17587 15327 35328 48356 44867 18551 28603 15736 47531 27790 24611 48311 25998 20260 41615 35702 18790 38480
44242 20206 32496 43475 18514 10689 17025 36157 16312 30690 46397 15253 11872 37411 15208 44703 22664 19148 30447 48987 38338 33121 35014
23446 42918 25800 39853 36001 36211 41136 12450 16881 14994 13366 19194 18040 37687 44183 35662 23638 34153 31976 27859 22275 34979 31926
46096 17094 19147 41444 36247 28761 33111 48849 31207 25324 24185 44076 28272 28981 20530 24806 28631 27879 19609 30722 17761 32923 11059
29172 10302 21412 48788 15214 43625 42830 40103 15716 14706 29876 24429 12179 10942 25763 22570 33328 45415 14165 11446 36162 22089 38616
23426 28010 26019 16965 47428 42030 21528 41185 49206 14544 33595 10496 15725 41799 29585 19584 49113 40223 15124 30410 28447 37299 39207
11553 29440 45637 18917 24585 41887 21246 46168 42628 15005 26451 42078 15661 18966 43263 18800 48551 13865 40085 35097 28649 30933 18338
20746 48713 45925 28077 31608 41605 31937 48419 15900 18001 12173 35669 34704 36701 49243 40132 34866 34359 35916 46684 30715 19443 29709
15992 29365 13901 32015 29975 47567 35297 40122 46915 12324 41087 31618 27459 12016 19807 17020 17540 36826 27318 18880 38609 40756 21688
28145 39807 10641 16427 48469 12162 31062 33656 49147 11612 42526 32495 12571 42110 17546 14391 44346 24960 11287 30156 12916 34156 40274
40539 49408 22255 43768 21919 31221 19870 47538 31721 11251 30653 43351 29070 14932 33057 11763 42585 40861 39703 19304 22279 17041 41048
24394 17311 19769 25244 12394 36710 24383 27637 30332 29026 12180 43672 36197 12944 15497 12167 32478 45685 24088 33905 24646 31977 48812
10258 36327 21077 36530 10991 18096 26533 18226 42728 28966 48350 16706 30494 46913 36846 28527 22690 24299 46727 14700 48720 30828 28806
